Stock,Weightage
Reliance Industries Ltd,8.32%
HDFC Bank Ltd,6.84%
Bikaji Foods International Ltd,3.47%
Usha Martin Ltd,3.17%
Aegis Logistics Ltd,2.89%
Hindustan Copper Ltd,2.75%
Jindal Stainless Ltd,2.74%
Arvind Ltd,2.66%
Punjab National Bank,2.55%
ICICI Bank Ltd,2.32%
