Stock,Weightage
Hindustan Unilever Ltd,8.60%
ITC Ltd,7.85%
Chalet Hotels Ltd,4.45%
Procter & Gamble Hygiene and Health Care Ltd,3.98%
Mrs. Bectors Food Specialities Ltd,3.96%
United Spirits Ltd,3.78%
Hero MotoCorp Ltd,3.51%
Bharti Airtel Ltd,3.31%
Go Fashion (India) Ltd,3.14%
Maruti Suzuki India Ltd,3.06%
