Stock Name,Average,Volatility,Max %Change,Min %Change
ABSLBANETF.NS,0.03816843304370442,0.820063411470329,3.5643149685328677,-3.7887733838503364
ABSLLIQUID.NS,-6.757014046188324e-06,0.0011409970398847456,0.002002020040213734,-0.00200197996017373
ABSLNN50ET.NS,0.06682491539631975,0.9261480125863607,3.1803680145388378,-3.1841278264882327
AUTOBEES.NS,0.14680153351657171,0.8119834470292323,2.2854845113972626,-2.4814880655193337
AXISBNKETF.NS,0.03952916413371561,0.83587597945619,3.346513029929516,-2.8034071371666682
AXISBPSETF.NS,0.027431456389627892,0.14661546599093692,0.649350649350652,-0.46339202965708004
AXISCETF.NS,0.0735662542505732,1.1725550565785001,8.237675560931438,-6.812226904248853
AXISHCETF.NS,0.10097006946093681,1.0197407046608225,5.538680527770743,-5.293437910370525
AXISILVER.NS,0.05070148007060895,1.2136116694896861,3.4102222558432596,-3.789951466816647
AXISNIFTY.NS,0.05765451030483554,0.6102418874946118,1.8899955213184838,-2.142970230279786
AXISTECETF.NS,0.06651014748596548,1.1240045736971223,4.898887379669526,-4.868339423907336
AXSENSEX.NS,0.1274478866717208,0.8106716055986513,2.6768091254752853,-2.695896824295744
BANKBEES.NS,0.03862090754107538,0.7814121012559638,3.7458939759036163,-3.0941520977803427
BANKETF.NS,-0.05235516113456556,1.2431190949034607,3.879049253195825,-8.880600464121564
BFSI.NS,0.10177651516195671,0.7548215631315152,3.266699171136022,-1.535317219277531
BSLNIFTY.NS,0.05592060103885176,0.5758278692802881,1.8814675446848474,-1.49327526132404
BSLSENETFG.NS,0.058986443722968844,0.8577777681385436,4.20980987947718,-3.274145679657045
CONSUMBEES.NS,0.07282708725614812,0.5741519366240151,1.2654071720534945,-1.877252752761794
CPSEETF.NS,0.19826953516621276,0.9449425393083377,3.1308703819661865,-3.7282380772142383
DIVOPPBEES.NS,0.12472819331301105,0.7053644416059544,2.4182306889352874,-2.094679426280711
DSPBANKETF.NS,0.05932221947529351,1.0762431322274317,4.100946279834469,-4.06926614568688
DSPITETF.NS,0.09549557994482803,2.000091641007863,10.81699346405227,-7.6968475375995205
DSPN50ETF.NS,0.07663864721620733,1.8625037169454597,14.647515681101936,-12.231618983716047
DSPNEWETF.NS,0.0,,0.0,0.0
DSPPSBKETF.NS,0.28157871650400546,2.8066593771951993,12.245344479941087,-9.250589022225247
DSPPVBKETF.NS,0.09474868610782422,1.5320483897539992,5.351747949935254,-4.547320770176159
DSPQ50ETF.NS,0.12042454704063937,0.8212939765675392,3.3732290954653346,-3.6683058072595367
DSPSENXETF.NS,0.08405226409977938,0.9764680571825347,3.1565656067461236,-3.8397299110598047
DSPSILVETF.NS,0.05186515018018642,1.404665864889846,4.480016025851483,-5.256518377152698
EBANK.NS,-0.02606091187351869,1.5878885287855746,6.494237283602238,-7.158310272638041
EBBETF0433.NS,0.02743977143181182,0.19565968254619392,1.0187997297299531,-1.0534370614498683
ESG.NS,0.13449685559102903,0.6386097244528238,2.0334928837767006,-1.464498567335243
HDFCBSE500.NS,0.10735758455627104,0.7842645177088039,2.1222100256128864,-1.94034854473589
HDFCGROWTH.NS,0.0,,0.0,0.0
HDFCLOWVOL.NS,0.1114001103882179,2.2291138962207477,11.173614857054783,-11.696066991557421
HDFCMID150.NS,0.0,,0.0,0.0
HDFCMOMENT.NS,0.11492703705751962,1.1304357237449156,4.655769941985176,-5.066519751204841
HDFCNEXT50.NS,0.0,,0.0,0.0
HDFCNIF100.NS,-0.3017347122904223,5.904710472180196,10.391014473426647,-90.04239421642473
HDFCNIFBAN.NS,0.0,,0.0,0.0
HDFCNIFIT.NS,0.0742261858687718,1.4369718308337063,6.721527879394479,-4.692491222351011
HDFCNIFTY.NS,0.11285890643703701,0.5833539588494162,1.6693039026204601,-1.3705740881969817
HDFCPVTBAN.NS,0.059365959448421074,1.2918227212393727,4.482529934310744,-4.138826018210352
HDFCQUAL.NS,0.0,,0.0,0.0
HDFCSENSEX.NS,0.06579229730923977,0.7598882028542693,1.803737187656889,-4.021853754204776
HDFCSILVER.NS,0.0,,0.0,0.0
HDFCSML250.NS,0.22296161698233308,0.8284896403245899,2.3622694829604605,-3.3611446057710737
HDFCVALUE.NS,0.0,,0.0,0.0
HEALTHY.NS,0.1000773362084445,0.7672640400582859,2.765957446808508,-2.252252252252264
HNGSNGBEES.NS,-0.04203769971945262,1.2359684638120223,5.116266122909491,-4.24900606564359
IBMFNIFTY.NS,0.025075993200788453,1.154623739473349,3.752129212048965,-2.87927301622766
ICICI500.NS,0.06830581660863638,0.6161603494619342,1.6809492419248568,-2.5826053930877317
ICICIALPLV.NS,0.09877318190346492,0.6105458635023352,1.7554049170466688,-1.8396149693630828
ICICIAUTO.NS,0.0,,0.0,0.0
ICICIB22.NS,0.16110038385828324,0.7671899926384264,2.6412362758771897,-2.2787510637917086
ICICIBANKN.NS,0.04138441795848562,0.816271236318043,3.7176367275423035,-3.542560543448393
ICICIBANKP.NS,0.04671708281706343,0.7947286584473935,3.539747207218381,-2.634078347898602
ICICICOMMO.NS,0.09513547105290966,0.8202018607980179,2.2027051857573503,-2.3106993453224405
ICICICONSU.NS,0.07293183764071229,0.6432479978737763,1.6753118159195828,-2.1085551969658898
ICICIFIN.NS,0.11746248804130997,0.8677713833330721,2.476184126984124,-2.4527337761880452
ICICIFMCG.NS,0.0684497394681598,0.6635488486987378,2.497276335877866,-1.7477839241784539
ICICIINFRA.NS,0.10342513951238891,0.8162000414368588,4.362107969299003,-3.602660020986358
