Stock,Weightage
Tata Communication Ltd,8.49%
Reliance Industries Ltd,8.39%
Aurobindo Pharma Ltd,7.80%
Escorts Ltd,6.91%
Punjab National Bank,5.86%
Piramal Enterprises Ltd,5.02%
ACC Ltd,4.68%
Zee Entertainment Enterprises Ltd,4.56%
Bharat Heavy Electricals Ltd,4.45%
Linde India Ltd,4.34%
