Stock,Weightage
HDFC Bank Ltd,14.09%
Reliance Industries Ltd,9.86%
ICICI Bank Ltd,7.99%
Infosys Ltd,5.53%
ITC Ltd,4.70%
Tata Consultancy Services Ltd,4.01%
Larsen & Toubro Ltd,3.71%
Kotak Mahindra Bank Ltd,3.12%
Axis Bank Ltd,2.99%
State Bank of India,2.72%
